날짜,지역,방문자수,연령대,성별,이벤트 종류,참여자수,참여비율
2023-01-01,인천,36,청소년,남,업사이클링 마켓,6,16.666666666666664
2023-01-01,인천,40,청소년,여,업사이클링 마켓,4,10.0
2023-01-01,인천,12,청년,남,업사이클링 마켓,3,25.0
2023-01-01,인천,13,청년,여,업사이클링 마켓,5,38.46153846153847
2023-01-01,인천,1,장년,남,업사이클링 마켓,0,0.0
2023-01-01,인천,2,장년,여,업사이클링 마켓,1,50.0
2023-01-01,인천,25,노년,남,업사이클링 마켓,20,80.0
2023-01-01,인천,2,노년,여,업사이클링 마켓,1,50.0
2023-01-01,강원,7,청소년,남,커뮤니티 청소 활동,3,42.857142857142854
2023-01-01,강원,32,청소년,여,커뮤니티 청소 활동,8,25.0
2023-01-01,강원,36,청년,남,커뮤니티 청소 활동,13,36.11111111111111
2023-01-01,강원,13,청년,여,커뮤니티 청소 활동,1,7.6923076923076925
2023-01-01,강원,18,장년,남,커뮤니티 청소 활동,11,61.111111111111114
2023-01-01,강원,18,장년,여,커뮤니티 청소 활동,15,83.33333333333334
2023-01-01,강원,22,노년,남,커뮤니티 청소 활동,0,0.0
2023-01-01,강원,36,노년,여,커뮤니티 청소 활동,12,33.33333333333333
2023-01-01,충북,30,청소년,남,워크숍 개최,19,63.33333333333333
2023-01-01,충북,29,청소년,여,워크숍 개최,11,37.93103448275862
2023-01-01,충북,12,청년,남,워크숍 개최,10,83.33333333333334
2023-01-01,충북,23,청년,여,워크숍 개최,4,17.391304347826086
2023-01-01,충북,20,장년,남,워크숍 개최,15,75.0
2023-01-01,충북,36,장년,여,워크숍 개최,17,47.22222222222222
2023-01-01,충북,38,노년,남,워크숍 개최,20,52.63157894736842
2023-01-01,충북,12,노년,여,워크숍 개최,2,16.666666666666664
2023-01-01,경기,6,청소년,남,커뮤니티 청소 활동,1,16.666666666666664
2023-01-01,경기,6,청소년,여,커뮤니티 청소 활동,3,50.0
2023-01-01,경기,36,청년,남,커뮤니티 청소 활동,16,44.44444444444444
2023-01-01,경기,26,청년,여,커뮤니티 청소 활동,6,23.076923076923077
2023-01-01,경기,33,장년,남,커뮤니티 청소 활동,8,24.242424242424242
2023-01-01,경기,40,장년,여,커뮤니티 청소 활동,9,22.5
2023-01-01,경기,5,노년,남,커뮤니티 청소 활동,4,80.0
2023-01-01,경기,24,노년,여,커뮤니티 청소 활동,15,62.5
2023-01-01,울산,34,청소년,남,커뮤니티 청소 활동,20,58.82352941176471
2023-01-01,울산,6,청소년,여,커뮤니티 청소 활동,1,16.666666666666664
2023-01-01,울산,36,청년,남,커뮤니티 청소 활동,11,30.555555555555557
2023-01-01,울산,14,청년,여,커뮤니티 청소 활동,11,78.57142857142857
2023-01-01,울산,20,장년,남,커뮤니티 청소 활동,3,15.0
2023-01-01,울산,23,장년,여,커뮤니티 청소 활동,14,60.86956521739131
2023-01-01,울산,40,노년,남,커뮤니티 청소 활동,19,47.5
2023-01-01,울산,30,노년,여,커뮤니티 청소 활동,5,16.666666666666664
2023-01-01,제주,14,청소년,남,홍보 부스 운영,6,42.857142857142854
2023-01-01,제주,11,청소년,여,홍보 부스 운영,8,72.72727272727273
2023-01-01,제주,33,청년,남,홍보 부스 운영,19,57.57575757575758
2023-01-01,제주,32,청년,여,홍보 부스 운영,10,31.25
2023-01-01,제주,23,장년,남,홍보 부스 운영,19,82.6086956521739
